dep;jour;incid_hosp;incid_rea;incid_dc;incid_rad
1;19/03/2020;1;0;0;0
1;20/03/2020;0;0;0;1
1;21/03/2020;3;0;0;0
1;22/03/2020;3;1;0;1
1;23/03/2020;14;1;0;5
1;24/03/2020;11;1;0;4
1;25/03/2020;13;2;0;5
1;26/03/2020;14;3;2;2
1;27/03/2020;14;2;0;0
1;28/03/2020;7;3;1;3
1;29/03/2020;11;3;3;3
1;30/03/2020;20;7;4;1
1;31/03/2020;20;0;1;9
1;01/04/2020;38;14;2;10
1;02/04/2020;34;7;2;19
1;03/04/2020;15;4;3;13
1;04/04/2020;25;8;5;9
1;05/04/2020;12;4;2;3
1;06/04/2020;11;3;1;6
1;07/04/2020;15;3;2;5
1;08/04/2020;19;8;4;9
1;09/04/2020;13;3;4;8
1;10/04/2020;17;2;5;8
1;11/04/2020;7;3;2;15
1;12/04/2020;4;2;0;4
1;13/04/2020;13;1;2;3
1;14/04/2020;14;1;2;5
1;15/04/2020;35;0;6;28
1;16/04/2020;16;1;0;3
1;17/04/2020;9;2;3;9
1;18/04/2020;31;3;5;5
1;19/04/2020;3;1;0;1
1;20/04/2020;4;2;2;3
1;21/04/2020;12;3;2;11
1;22/04/2020;13;1;4;15
1;23/04/2020;10;0;4;9
1;24/04/2020;7;1;1;5
1;25/04/2020;4;0;2;5
1;26/04/2020;4;0;0;1
1;27/04/2020;4;0;0;7
1;28/04/2020;4;0;3;4
1;29/04/2020;14;0;1;11
1;30/04/2020;8;2;1;8
1;01/05/2020;4;0;1;5
1;02/05/2020;1;1;0;0
1;03/05/2020;1;0;0;0
1;04/05/2020;2;0;0;2
1;05/05/2020;7;2;4;12
1;06/05/2020;8;0;0;14
1;07/05/2020;1;0;0;7
1;08/05/2020;1;0;0;2
1;09/05/2020;1;0;1;3
1;10/05/2020;3;0;0;1
1;11/05/2020;6;2;2;6
1;12/05/2020;4;1;0;2
1;13/05/2020;6;0;0;4
1;14/05/2020;4;0;0;4
1;15/05/2020;4;0;1;5
1;16/05/2020;1;0;1;2
1;17/05/2020;1;0;0;1
1;18/05/2020;1;0;0;5
1;19/05/2020;5;0;2;13
1;20/05/2020;2;0;0;6
1;21/05/2020;0;0;1;4
1;22/05/2020;0;0;1;1
1;23/05/2020;4;0;1;5
1;24/05/2020;0;0;0;0
1;25/05/2020;1;0;0;1
1;26/05/2020;2;0;0;10
1;27/05/2020;0;0;0;1
1;28/05/2020;0;0;0;7
1;29/05/2020;0;0;0;0
1;30/05/2020;2;0;0;9
1;31/05/2020;0;0;0;0
1;01/06/2020;0;0;0;0
1;02/06/2020;1;0;0;2
1;03/06/2020;2;0;1;7
1;04/06/2020;4;0;1;1
1;05/06/2020;0;0;0;1
1;06/06/2020;0;0;1;6
1;07/06/2020;0;0;0;0
1;08/06/2020;3;1;2;1
1;09/06/2020;0;0;0;2
1;10/06/2020;1;0;0;1
1;11/06/2020;0;0;0;5
1;12/06/2020;0;0;1;2
1;13/06/2020;0;0;0;0
1;14/06/2020;0;0;0;0
1;15/06/2020;0;0;0;1
1;16/06/2020;2;0;0;0
1;17/06/2020;1;0;1;2
1;18/06/2020;0;0;0;0
1;19/06/2020;0;0;0;0
1;20/06/2020;0;0;0;2
1;21/06/2020;0;0;0;0
1;22/06/2020;0;0;0;0
1;23/06/2020;0;0;1;0
1;24/06/2020;1;0;0;3
1;25/06/2020;2;0;0;5
1;26/06/2020;0;0;0;0
1;27/06/2020;0;0;0;4
1;28/06/2020;0;0;0;0
1;29/06/2020;0;0;0;3
1;30/06/2020;0;0;0;0
1;01/07/2020;0;0;0;0
1;02/07/2020;0;0;0;0
1;03/07/2020;1;1;1;0
1;04/07/2020;0;0;0;2
1;05/07/2020;0;0;0;1
1;06/07/2020;1;0;0;0
1;07/07/2020;0;1;0;1
1;08/07/2020;0;0;1;2
1;09/07/2020;0;0;0;0
1;10/07/2020;1;0;0;0
1;11/07/2020;0;0;0;0
1;12/07/2020;0;0;0;0
1;13/07/2020;0;0;0;0
1;14/07/2020;0;0;0;0
1;15/07/2020;0;0;0;0
1;16/07/2020;0;0;0;1
1;17/07/2020;0;0;0;1
1;18/07/2020;0;0;0;0
1;19/07/2020;0;0;0;0
1;20/07/2020;1;0;0;0
1;21/07/2020;1;0;0;0
1;22/07/2020;1;0;0;3
1;23/07/2020;0;0;0;6
1;24/07/2020;1;0;0;7
1;25/07/2020;0;0;0;1
1;26/07/2020;0;0;0;0
1;27/07/2020;0;0;0;1
1;28/07/2020;0;0;0;0
1;29/07/2020;0;0;0;0
1;30/07/2020;0;0;0;1
1;31/07/2020;0;0;0;0
1;01/08/2020;0;0;0;0
1;02/08/2020;0;0;0;0
1;03/08/2020;0;0;0;1
1;04/08/2020;0;0;0;1
1;05/08/2020;0;0;0;0
1;06/08/2020;0;0;0;0
1;07/08/2020;2;0;0;2
1;08/08/2020;0;0;0;0
1;09/08/2020;0;0;0;0
1;10/08/2020;2;0;0;1
1;11/08/2020;0;0;0;0
1;12/08/2020;0;0;0;0
1;13/08/2020;0;0;0;0
1;14/08/2020;0;0;0;0
1;15/08/2020;0;0;0;0
1;16/08/2020;0;0;0;0
1;17/08/2020;0;0;0;0
1;18/08/2020;0;0;0;1
1;19/08/2020;0;0;0;0
1;20/08/2020;2;0;0;4
1;21/08/2020;0;0;0;0
1;22/08/2020;0;0;0;0
1;23/08/2020;0;0;0;0
1;24/08/2020;0;0;0;0
1;25/08/2020;1;0;0;0
1;26/08/2020;0;0;0;1
1;27/08/2020;1;0;0;0
1;28/08/2020;1;0;0;0
1;29/08/2020;0;0;0;0
1;30/08/2020;0;0;0;0
1;31/08/2020;0;0;0;0
1;01/09/2020;0;0;1;0
1;02/09/2020;1;0;0;0
1;03/09/2020;0;0;1;0
1;04/09/2020;1;0;0;0
1;05/09/2020;0;0;0;1
1;06/09/2020;0;0;0;0
1;07/09/2020;0;0;0;0
1;08/09/2020;7;0;2;1
1;09/09/2020;0;0;0;1
1;10/09/2020;0;0;0;0
1;11/09/2020;1;0;0;1
1;12/09/2020;2;0;0;1
1;13/09/2020;0;0;0;0
1;14/09/2020;0;0;0;0
1;15/09/2020;8;1;1;2
1;16/09/2020;1;0;0;0
1;17/09/2020;1;0;0;2
1;18/09/2020;0;0;0;0
1;19/09/2020;0;0;0;0
1;20/09/2020;0;0;0;0
1;21/09/2020;7;1;0;8
1;22/09/2020;2;0;0;2
1;23/09/2020;2;1;0;0
1;24/09/2020;11;1;0;3
1;25/09/2020;2;3;0;1
1;26/09/2020;3;0;0;3
1;27/09/2020;0;0;0;0
1;28/09/2020;3;0;0;1
1;29/09/2020;5;1;0;6
1;30/09/2020;2;1;0;5
1;01/10/2020;2;0;3;9
1;02/10/2020;2;1;0;3
1;03/10/2020;3;1;0;0
1;04/10/2020;6;0;0;3
1;05/10/2020;1;0;0;2
1;06/10/2020;2;0;0;1
1;07/10/2020;2;0;0;4
1;08/10/2020;6;3;0;1
1;09/10/2020;2;1;0;1
1;10/10/2020;5;1;1;2
1;11/10/2020;2;0;0;0
1;12/10/2020;5;1;1;3
1;13/10/2020;6;1;0;5
1;14/10/2020;2;0;1;1
1;15/10/2020;9;0;1;8
1;16/10/2020;15;0;2;5
1;17/10/2020;10;0;0;1
1;18/10/2020;5;1;0;1
1;19/10/2020;40;2;0;9
1;20/10/2020;33;2;2;18
1;21/10/2020;12;1;0;4
1;22/10/2020;28;1;1;5
1;23/10/2020;35;1;2;7
1;24/10/2020;17;2;2;7
1;25/10/2020;1;0;1;3
1;26/10/2020;54;6;1;19
1;27/10/2020;21;3;5;11
1;28/10/2020;31;2;2;9
1;29/10/2020;18;1;1;6
1;30/10/2020;31;6;2;13
1;31/10/2020;37;5;6;22
1;01/11/2020;15;0;1;5
1;02/11/2020;30;1;3;6
1;03/11/2020;66;7;7;20
1;04/11/2020;41;6;6;9
1;05/11/2020;57;8;11;37
1;06/11/2020;48;4;2;15
1;07/11/2020;19;4;4;36
1;08/11/2020;13;0;1;5
1;09/11/2020;38;0;8;18
1;10/11/2020;64;5;8;42
1;11/11/2020;26;5;0;10
1;12/11/2020;41;5;5;17
1;13/11/2020;37;0;10;28
1;14/11/2020;35;2;9;45
1;15/11/2020;8;0;1;5
1;16/11/2020;24;0;10;6
1;17/11/2020;40;1;6;31
1;18/11/2020;26;4;3;19
1;19/11/2020;40;3;10;40
1;20/11/2020;31;2;5;11
1;21/11/2020;19;3;3;14
1;22/11/2020;4;0;2;4
1;23/11/2020;16;0;1;5
1;24/11/2020;19;2;11;38
1;25/11/2020;18;2;6;11
1;26/11/2020;24;6;4;28
1;27/11/2020;12;3;9;28
1;28/11/2020;1;0;0;3
1;29/11/2020;7;0;5;5
1;30/11/2020;15;1;5;11
1;01/12/2020;8;1;1;4
1;02/12/2020;7;0;0;2
1;03/12/2020;11;2;6;25
1;04/12/2020;25;3;4;19
1;05/12/2020;5;2;11;22
1;06/12/2020;4;0;1;1
1;07/12/2020;18;2;9;10
2;19/03/2020;38;8;10;15
2;20/03/2020;10;3;3;9
2;21/03/2020;30;4;1;9
2;22/03/2020;13;1;3;8
2;23/03/2020;27;1;2;5
2;24/03/2020;46;4;3;23
2;25/03/2020;15;5;1;8
2;26/03/2020;23;4;2;10
2;27/03/2020;16;3;1;5
2;28/03/2020;26;2;4;13
2;29/03/2020;5;1;1;1
2;30/03/2020;9;4;2;3
2;31/03/2020;58;6;7;41
2;01/04/2020;41;4;8;13
2;02/04/2020;58;1;8;27
2;03/04/2020;59;5;18;16
2;04/04/2020;42;4;10;19
2;05/04/2020;7;0;6;2
2;06/04/2020;14;1;6;7
2;07/04/2020;67;3;9;31
2;08/04/2020;23;5;4;13
2;09/04/2020;39;4;9;20
2;10/04/2020;32;7;8;14
2;11/04/2020;25;0;4;22
2;12/04/2020;8;1;2;2
2;13/04/2020;9;0;5;1
2;14/04/2020;9;2;5;16
2;15/04/2020;28;4;3;25
2;16/04/2020;13;1;4;14
2;17/04/2020;18;1;6;12
2;18/04/2020;13;0;3;10
2;19/04/2020;8;1;1;1
2;20/04/2020;106;7;6;70
2;21/04/2020;93;1;13;90
2;22/04/2020;29;1;5;39
2;23/04/2020;24;1;1;20
2;24/04/2020;25;1;3;14
2;25/04/2020;10;0;4;12
2;26/04/2020;12;0;3;0
2;27/04/2020;4;0;2;8
2;28/04/2020;29;3;5;20
2;29/04/2020;16;4;5;18
2;30/04/2020;16;1;1;17
2;01/05/2020;6;0;2;11
2;02/05/2020;7;0;0;3
2;03/05/2020;1;0;4;0
2;04/05/2020;11;0;5;8
2;05/05/2020;20;0;3;25
2;06/05/2020;20;1;1;18
2;07/05/2020;29;4;2;45
2;08/05/2020;21;2;2;28
2;09/05/2020;0;0;1;0
2;10/05/2020;2;1;2;1
2;11/05/2020;14;2;4;9
2;12/05/2020;7;0;4;21
2;13/05/2020;13;0;3;25
2;14/05/2020;12;1;0;32
2;15/05/2020;5;0;2;7
2;16/05/2020;12;0;2;5
2;17/05/2020;3;0;3;0
2;18/05/2020;9;0;1;5
2;19/05/2020;3;1;0;7
2;20/05/2020;6;0;2;6
2;21/05/2020;1;0;0;5
2;22/05/2020;2;0;0;4
2;23/05/2020;1;0;3;3
2;24/05/2020;1;0;0;0
2;25/05/2020;5;0;2;16
2;26/05/2020;18;2;1;7
2;27/05/2020;2;0;1;10
2;28/05/2020;8;2;2;5
2;29/05/2020;6;1;2;7
2;30/05/2020;3;0;0;2
2;31/05/2020;0;0;1;0
2;01/06/2020;0;0;1;1
2;02/06/2020;2;1;1;1
2;03/06/2020;5;0;0;9
2;04/06/2020;3;2;1;3
2;05/06/2020;3;1;0;6
2;06/06/2020;1;0;0;0
2;07/06/2020;1;0;0;1
2;08/06/2020;4;0;3;6
2;09/06/2020;3;0;0;7
2;10/06/2020;1;0;0;6
2;11/06/2020;0;0;0;2
2;12/06/2020;4;1;0;7
2;13/06/2020;0;0;0;1
2;14/06/2020;0;0;0;0
2;15/06/2020;1;0;0;4
2;16/06/2020;6;0;2;3
2;17/06/2020;0;0;0;1
2;18/06/2020;4;0;0;11
2;19/06/2020;0;0;0;1
2;20/06/2020;2;0;0;3
2;21/06/2020;5;0;0;0
2;22/06/2020;0;0;0;2
2;23/06/2020;3;0;0;4
2;24/06/2020;0;0;1;2
2;25/06/2020;2;0;1;5
2;26/06/2020;0;0;0;5
2;27/06/2020;0;0;0;2
2;28/06/2020;0;0;0;1
2;29/06/2020;1;0;0;1
2;30/06/2020;0;0;0;1
2;01/07/2020;2;0;0;1
2;02/07/2020;1;0;0;0
2;03/07/2020;0;0;0;0
2;04/07/2020;1;0;0;3
2;05/07/2020;0;0;0;0
2;06/07/2020;0;0;0;2
2;07/07/2020;4;0;2;10
2;08/07/2020;1;1;0;18
2;09/07/2020;2;0;0;4
2;10/07/2020;0;0;0;2
2;11/07/2020;1;0;1;2
2;12/07/2020;0;0;0;0
2;13/07/2020;0;1;0;0
2;14/07/2020;0;0;0;0
2;15/07/2020;2;0;0;1
2;16/07/2020;1;0;0;3
2;17/07/2020;4;0;0;3
2;18/07/2020;1;0;0;1
2;19/07/2020;0;0;0;0
2;20/07/2020;1;0;1;4
2;21/07/2020;0;0;1;0
2;22/07/2020;2;0;0;1
2;23/07/2020;0;0;0;1
2;24/07/2020;1;0;0;1
2;25/07/2020;0;0;0;1
2;26/07/2020;1;0;0;0
2;27/07/2020;0;0;0;1
2;28/07/2020;0;0;0;2
2;29/07/2020;2;2;0;3
2;30/07/2020;0;0;1;6
2;31/07/2020;3;0;0;2
2;01/08/2020;0;0;0;0
2;02/08/2020;1;1;0;0
2;03/08/2020;0;0;1;1
2;04/08/2020;0;0;0;0
2;05/08/2020;2;0;0;0
2;06/08/2020;2;0;0;3
2;07/08/2020;0;0;0;1
2;08/08/2020;2;3;0;0
2;09/08/2020;0;0;0;0
2;10/08/2020;2;1;0;0
2;11/08/2020;4;1;1;0
2;12/08/2020;1;0;0;0
2;13/08/2020;3;0;1;0
2;14/08/2020;1;0;1;1
2;15/08/2020;6;1;1;0
2;16/08/2020;0;0;0;0
2;17/08/2020;1;0;0;0
2;18/08/2020;1;0;1;6
2;19/08/2020;1;1;0;3
2;20/08/2020;1;1;1;1
2;21/08/2020;1;0;0;6
2;22/08/2020;1;0;0;1
2;23/08/2020;0;0;0;0
2;24/08/2020;0;0;0;1
2;25/08/2020;2;0;0;4
2;26/08/2020;1;0;0;0
2;27/08/2020;0;0;0;3
2;28/08/2020;3;0;2;2
2;29/08/2020;1;0;0;0
2;30/08/2020;1;0;0;1
2;31/08/2020;0;0;0;2
2;01/09/2020;1;0;0;1
2;02/09/2020;0;0;0;0
2;03/09/2020;1;0;0;3
2;04/09/2020;0;0;0;1
2;05/09/2020;1;0;0;0
2;06/09/2020;2;0;0;0
2;07/09/2020;0;0;0;0
2;08/09/2020;2;1;0;0
2;09/09/2020;3;0;0;1
2;10/09/2020;0;0;0;1
2;11/09/2020;0;0;0;3
2;12/09/2020;0;0;0;0
2;13/09/2020;0;0;0;0
2;14/09/2020;3;0;0;2
2;15/09/2020;2;1;0;0
2;16/09/2020;0;0;0;1
2;17/09/2020;3;0;0;2
2;18/09/2020;0;0;1;0
2;19/09/2020;4;1;0;2
2;20/09/2020;1;0;0;0
2;21/09/2020;6;1;0;0
2;22/09/2020;1;0;0;1
2;23/09/2020;5;1;0;6
2;24/09/2020;1;0;0;3
2;25/09/2020;0;0;0;2
2;26/09/2020;3;2;1;5
2;27/09/2020;3;0;0;0
2;28/09/2020;8;2;0;0
2;29/09/2020;4;0;0;4
2;30/09/2020;3;1;0;3
2;01/10/2020;3;1;0;6
2;02/10/2020;4;0;0;2
2;03/10/2020;3;0;0;4
2;04/10/2020;0;0;0;0
2;05/10/2020;3;0;0;2
2;06/10/2020;0;0;0;4
2;07/10/2020;5;0;0;0
2;08/10/2020;1;0;0;2
2;09/10/2020;2;1;0;1
2;10/10/2020;8;1;1;9
2;11/10/2020;4;0;0;0
2;12/10/2020;2;1;0;1
2;13/10/2020;9;1;4;5
2;14/10/2020;9;1;0;2
2;15/10/2020;9;2;1;4
2;16/10/2020;11;4;0;4
2;17/10/2020;0;0;0;5
2;18/10/2020;16;2;0;1
2;19/10/2020;6;0;1;2
2;20/10/2020;8;1;0;3
2;21/10/2020;7;1;1;7
2;22/10/2020;24;2;1;2
2;23/10/2020;16;0;1;8
2;24/10/2020;16;0;3;10
2;25/10/2020;8;2;3;5
2;26/10/2020;23;4;2;6
2;27/10/2020;11;2;0;12
2;28/10/2020;21;4;4;7
2;29/10/2020;12;2;2;14
2;30/10/2020;21;3;5;11
2;31/10/2020;6;0;1;3
2;01/11/2020;11;1;0;0
2;02/11/2020;22;6;0;8
2;03/11/2020;16;4;2;6
2;04/11/2020;35;2;5;23
2;05/11/2020;24;3;5;12
2;06/11/2020;27;2;3;11
2;07/11/2020;13;0;1;14
2;08/11/2020;14;4;1;4
2;09/11/2020;24;3;2;10
2;10/11/2020;18;3;4;16
2;11/11/2020;19;1;1;10
2;12/11/2020;21;3;1;14
2;13/11/2020;33;7;5;14
2;14/11/2020;5;0;0;9
2;15/11/2020;2;1;0;0
2;16/11/2020;20;3;2;29
2;17/11/2020;31;3;3;27
2;18/11/2020;12;0;1;18
2;19/11/2020;19;2;7;23
2;20/11/2020;16;0;3;16
2;21/11/2020;2;0;0;4
2;22/11/2020;5;2;4;0
2;23/11/2020;13;1;6;16
2;24/11/2020;28;0;7;31
2;25/11/2020;13;1;1;12
2;26/11/2020;11;0;3;9
2;27/11/2020;13;5;2;13
2;28/11/2020;9;1;1;11
2;29/11/2020;7;0;1;0
2;30/11/2020;20;0;3;4
2;01/12/2020;16;6;3;20
2;02/12/2020;14;1;5;12
2;03/12/2020;15;1;1;15
2;04/12/2020;25;1;4;14
2;05/12/2020;7;0;0;3
2;06/12/2020;3;0;0;2
2;07/12/2020;18;3;4;9
3;19/03/2020;2;0;0;6
3;20/03/2020;4;0;0;3
3;21/03/2020;4;0;0;1
3;22/03/2020;1;0;0;2
3;23/03/2020;11;0;1;4
3;24/03/2020;1;0;0;0
3;25/03/2020;6;0;0;4
3;26/03/2020;10;1;1;6
3;27/03/2020;6;1;2;1
3;28/03/2020;7;0;0;4
3;29/03/2020;3;3;0;1
3;30/03/2020;14;4;0;6
3;31/03/2020;5;1;1;3
3;01/04/2020;9;1;0;7
3;02/04/2020;5;3;1;6
3;03/04/2020;5;0;1;1
3;04/04/2020;6;0;0;2
3;05/04/2020;5;3;1;4
3;06/04/2020;6;1;0;2
3;07/04/2020;5;0;0;4
3;08/04/2020;9;2;2;2
3;09/04/2020;3;1;0;0
3;10/04/2020;5;2;0;6
3;11/04/2020;8;1;2;2
3;12/04/2020;4;0;1;6
3;13/04/2020;3;0;0;3
3;14/04/2020;6;2;3;0
3;15/04/2020;2;0;1;4
3;16/04/2020;4;0;2;1
3;17/04/2020;2;0;0;1
3;18/04/2020;2;0;3;3
3;19/04/2020;0;1;0;0
3;20/04/2020;5;0;0;0
3;21/04/2020;5;0;1;9
3;22/04/2020;5;1;1;3
3;23/04/2020;3;0;0;4
3;24/04/2020;2;0;1;3
3;25/04/2020;5;0;0;3
3;26/04/2020;3;0;0;1
3;27/04/2020;0;0;0;1
3;28/04/2020;1;0;1;4
3;29/04/2020;0;2;1;4
3;30/04/2020;2;0;0;3
3;01/05/2020;2;0;1;1
3;02/05/2020;2;0;0;1
3;03/05/2020;0;0;0;0
3;04/05/2020;1;0;0;0
3;05/05/2020;2;0;2;6
3;06/05/2020;2;1;0;2
3;07/05/2020;2;0;0;2
3;08/05/2020;3;0;1;2
3;09/05/2020;0;1;0;0
3;10/05/2020;1;0;0;0
3;11/05/2020;0;1;0;0
3;12/05/2020;2;0;1;10
3;13/05/2020;0;0;1;2
3;14/05/2020;1;0;0;1
3;15/05/2020;0;0;0;1
3;16/05/2020;0;0;0;2
3;17/05/2020;0;0;0;0
3;18/05/2020;0;0;0;0
3;19/05/2020;5;0;2;4
3;20/05/2020;4;0;3;1
3;21/05/2020;0;0;0;0
3;22/05/2020;0;0;0;1
3;23/05/2020;5;0;0;3
3;24/05/2020;3;0;0;2
3;25/05/2020;3;0;0;1
3;26/05/2020;1;0;0;1
3;27/05/2020;3;0;0;7
3;28/05/2020;0;0;1;0
3;29/05/2020;0;0;0;2
3;30/05/2020;0;0;0;2
3;31/05/2020;2;0;0;3
3;01/06/2020;1;0;0;0
3;02/06/2020;4;0;1;1
3;03/06/2020;0;0;0;0
3;04/06/2020;0;0;0;0
3;05/06/2020;4;0;0;2
3;06/06/2020;0;0;0;0
3;07/06/2020;0;0;0;0
3;08/06/2020;4;1;0;1
3;09/06/2020;0;0;0;2
3;10/06/2020;1;0;0;3
3;11/06/2020;3;0;0;3
3;12/06/2020;2;0;0;1
3;13/06/2020;0;0;0;0
3;14/06/2020;0;0;0;0
3;15/06/2020;0;0;0;0
3;16/06/2020;1;0;0;0
3;17/06/2020;1;1;0;0
3;18/06/2020;0;0;0;0
3;19/06/2020;0;0;0;4
3;20/06/2020;0;0;0;0
3;21/06/2020;0;0;0;0
3;22/06/2020;1;0;1;0
3;23/06/2020;0;0;0;0
3;24/06/2020;0;0;0;0
3;25/06/2020;0;0;0;0
3;26/06/2020;1;0;0;3
3;27/06/2020;0;0;0;0
3;28/06/2020;0;0;1;0
3;29/06/2020;0;0;0;0
3;30/06/2020;0;0;0;0
3;01/07/2020;0;0;0;0
3;02/07/2020;0;0;0;0
3;03/07/2020;1;0;0;2
3;04/07/2020;0;0;0;0
3;05/07/2020;0;0;0;0
3;06/07/2020;0;0;0;0
3;07/07/2020;0;0;0;0
3;08/07/2020;0;0;0;0
3;09/07/2020;0;0;0;0
3;10/07/2020;1;0;0;0
3;11/07/2020;0;0;0;0
3;12/07/2020;0;0;0;0
3;13/07/2020;0;0;0;0
3;14/07/2020;0;0;0;0
3;15/07/2020;0;0;0;0
3;16/07/2020;0;0;0;0
3;17/07/2020;0;0;0;0
3;18/07/2020;0;0;0;1
3;19/07/2020;0;0;0;0
3;20/07/2020;0;0;0;0
3;21/07/2020;0;0;0;0
3;22/07/2020;0;0;0;0
3;23/07/2020;1;0;0;3
3;24/07/2020;0;0;0;0
3;25/07/2020;1;0;0;1
3;26/07/2020;0;0;0;0
3;27/07/2020;0;0;0;0
3;28/07/2020;0;0;0;0
3;29/07/2020;0;0;0;0
3;30/07/2020;0;0;0;0
3;31/07/2020;0;0;0;0
3;01/08/2020;0;0;0;0
3;02/08/2020;0;0;0;0
3;03/08/2020;0;0;0;0
3;04/08/2020;0;0;0;0
3;05/08/2020;0;0;0;0
3;06/08/2020;0;0;0;0
3;07/08/2020;0;0;0;0
3;08/08/2020;0;0;0;0
3;09/08/2020;0;0;0;0
3;10/08/2020;1;0;0;2
3;11/08/2020;2;0;0;2
3;12/08/2020;0;0;0;0
3;13/08/2020;0;0;0;0
3;14/08/2020;0;0;0;0
3;15/08/2020;0;0;0;0
3;16/08/2020;0;0;0;0
3;17/08/2020;0;0;0;0
3;18/08/2020;0;0;0;0
3;19/08/2020;0;0;0;0
3;20/08/2020;2;0;0;0
3;21/08/2020;0;0;0;0
3;22/08/2020;0;0;0;0
3;23/08/2020;0;0;0;0
3;24/08/2020;0;0;0;0
3;25/08/2020;1;0;0;0
3;26/08/2020;2;0;0;0
3;27/08/2020;0;0;0;0
3;28/08/2020;1;0;0;3
3;29/08/2020;0;0;0;0
3;30/08/2020;0;0;0;0
3;31/08/2020;0;0;0;0
3;01/09/2020;0;0;0;0
3;02/09/2020;1;0;0;1
3;03/09/2020;0;0;0;0
3;04/09/2020;2;0;0;3
3;05/09/2020;0;0;0;0
3;06/09/2020;0;0;0;0
3;07/09/2020;0;0;0;0
3;08/09/2020;0;0;0;1
3;09/09/2020;3;0;0;0
3;10/09/2020;2;1;0;0
3;11/09/2020;2;0;0;0
3;12/09/2020;0;0;0;0
3;13/09/2020;2;1;0;1
3;14/09/2020;1;0;0;0
3;15/09/2020;1;0;0;1
3;16/09/2020;1;0;0;2
3;17/09/2020;2;0;0;1
3;18/09/2020;2;0;1;0
3;19/09/2020;1;1;0;1
3;20/09/2020;0;0;0;1
3;21/09/2020;10;0;0;1
3;22/09/2020;2;0;1;3
3;23/09/2020;2;0;0;2
3;24/09/2020;2;1;0;0
3;25/09/2020;1;0;0;0
3;26/09/2020;3;0;0;3
3;27/09/2020;2;0;0;0
3;28/09/2020;0;0;0;1
3;29/09/2020;3;1;1;2
3;30/09/2020;3;1;1;1
3;01/10/2020;3;0;0;1
3;02/10/2020;1;1;0;6
3;03/10/2020;0;0;1;3
3;04/10/2020;2;0;0;3
3;05/10/2020;5;0;0;1
3;06/10/2020;1;0;0;3
3;07/10/2020;4;0;0;0
3;08/10/2020;3;0;0;4
3;09/10/2020;2;0;0;3
3;10/10/2020;6;1;1;3
3;11/10/2020;7;0;0;0
3;12/10/2020;3;0;1;0
3;13/10/2020;12;2;0;4
3;14/10/2020;8;1;0;0
3;15/10/2020;15;2;0;2
3;16/10/2020;12;3;1;1
3;17/10/2020;9;0;2;2
3;18/10/2020;7;0;2;0
3;19/10/2020;9;0;1;2
3;20/10/2020;18;0;2;7
3;21/10/2020;6;0;1;2
3;22/10/2020;9;0;0;9
3;23/10/2020;21;0;2;2
3;24/10/2020;26;0;0;6
3;25/10/2020;8;1;0;4
3;26/10/2020;11;2;3;0
3;27/10/2020;21;4;4;8
3;28/10/2020;13;2;1;17
3;29/10/2020;31;4;0;15
3;30/10/2020;26;3;3;12
3;31/10/2020;19;1;0;10
3;01/11/2020;22;0;2;3
3;02/11/2020;24;1;8;10
3;03/11/2020;31;8;4;9
3;04/11/2020;30;3;7;16
3;05/11/2020;24;2;4;12
3;06/11/2020;25;1;8;40
3;07/11/2020;22;4;4;14
3;08/11/2020;10;3;2;11
3;09/11/2020;28;6;3;1
3;10/11/2020;18;0;8;16
3;11/11/2020;28;1;4;32
3;12/11/2020;24;2;2;20
3;13/11/2020;22;3;7;14
3;14/11/2020;16;5;7;15
3;15/11/2020;17;1;3;4
3;16/11/2020;31;4;5;3
3;17/11/2020;17;1;3;25
3;18/11/2020;26;1;10;29
3;19/11/2020;16;3;2;14
3;20/11/2020;20;1;8;7
3;21/11/2020;13;1;1;24
3;22/11/2020;8;0;4;9
3;23/11/2020;13;3;6;7
3;24/11/2020;23;0;10;17
3;25/11/2020;15;2;5;18
3;26/11/2020;24;2;6;16
3;27/11/2020;13;1;8;14
3;28/11/2020;22;1;1;14
3;29/11/2020;10;1;3;0
3;30/11/2020;4;1;5;9
3;01/12/2020;38;1;8;13
3;02/12/2020;10;1;2;8
3;03/12/2020;11;2;5;17
3;04/12/2020;22;1;4;10
3;05/12/2020;9;1;1;7
3;06/12/2020;12;0;1;2
3;07/12/2020;6;2;2;4
4;19/03/2020;1;0;0;1
4;20/03/2020;0;0;0;0
4;21/03/2020;1;0;0;0
4;22/03/2020;0;0;0;0
4;23/03/2020;0;0;0;0
4;24/03/2020;0;0;0;0
4;25/03/2020;17;0;0;13
4;26/03/2020;1;0;0;0
4;27/03/2020;4;0;0;2
4;28/03/2020;4;0;0;3
4;29/03/2020;0;0;0;0
4;30/03/2020;15;3;1;8
4;31/03/2020;5;0;1;3
4;01/04/2020;4;1;0;2
4;02/04/2020;15;0;1;13
4;03/04/2020;5;1;0;1
4;04/04/2020;0;0;0;0
4;05/04/2020;2;2;0;0
4;06/04/2020;11;0;1;5
4;07/04/2020;1;0;0;7
4;08/04/2020;3;0;0;2
4;09/04/2020;1;0;0;0
4;10/04/2020;6;1;0;3
4;11/04/2020;3;1;0;4
4;12/04/2020;0;0;1;0
4;13/04/2020;0;0;0;0
4;14/04/2020;8;0;0;8
4;15/04/2020;4;0;0;1
4;16/04/2020;0;0;1;2
